params,total_trades,win_rate,total_pnl,avg_pnl,profit_factor,gross_profit,gross_loss,avg_win,avg_loss,profit_per_trade,winning_trades,losing_trades,composite_score
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.5, 'tp_multiplier': 1.5}",6,100.0,456.99999999999363,76.1666666666656,inf,456.99999999999363,0.0,76.1666666666656,0.0,76.1666666666656,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.0, 'tp_multiplier': 1.7}",6,100.0,427.9999999999859,71.33333333333098,inf,427.9999999999859,0.0,71.33333333333098,0.0,71.33333333333098,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.2, 'tp_multiplier': 1.7}",6,100.0,427.9999999999859,71.33333333333098,inf,427.9999999999859,0.0,71.33333333333098,0.0,71.33333333333098,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.5, 'tp_multiplier': 1.7}",6,100.0,427.9999999999859,71.33333333333098,inf,427.9999999999859,0.0,71.33333333333098,0.0,71.33333333333098,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.0, 'tp_multiplier': 1.2}",6,100.0,425.9999999999877,70.99999999999795,inf,425.9999999999877,0.0,70.99999999999795,0.0,70.99999999999795,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.2, 'tp_multiplier': 1.2}",6,100.0,425.9999999999877,70.99999999999795,inf,425.9999999999877,0.0,70.99999999999795,0.0,70.99999999999795,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.5, 'tp_multiplier': 1.2}",6,100.0,425.9999999999877,70.99999999999795,inf,425.9999999999877,0.0,70.99999999999795,0.0,70.99999999999795,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.0, 'tp_multiplier': 1.0}",6,100.0,404.99999999999545,67.49999999999925,inf,404.99999999999545,0.0,67.49999999999925,0.0,67.49999999999925,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.2, 'tp_multiplier': 1.0}",6,100.0,404.99999999999545,67.49999999999925,inf,404.99999999999545,0.0,67.49999999999925,0.0,67.49999999999925,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'atr_multiplier': 1.5, 'tp_multiplier': 1.0}",6,100.0,404.99999999999545,67.49999999999925,inf,404.99999999999545,0.0,67.49999999999925,0.0,67.49999999999925,6,0,
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 2.0}",8,87.5,670.9999999999923,83.87499999999903,11.32307692307536,736.0000000000014,65.0000000000091,105.14285714285734,-65.0000000000091,83.87499999999903,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.5}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.7}",8,87.5,642.9999999999836,80.37499999999795,10.892307692306057,707.9999999999927,65.0000000000091,101.1428571428561,-65.0000000000091,80.37499999999795,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.2}",8,87.5,604.9999999999955,75.62499999999943,10.307692307690935,670.0000000000045,65.0000000000091,95.71428571428636,-65.0000000000091,75.62499999999943,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 14, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.0, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.2, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 21, 'atr_multiplier': 1.5, 'tp_multiplier': 1.0}",8,87.5,603.9999999999964,75.49999999999955,10.292307692306336,669.0000000000055,65.0000000000091,95.57142857142935,-65.0000000000091,75.49999999999955,7,1,0.6124999999999999
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'atr_multiplier': 1.0, 'tp_multiplier': 1.5}",14,78.57142857142857,460.9999999999786,32.9285714285699,2.578767123287559,752.9999999999859,292.0000000000073,68.45454545454417,-97.33333333333576,32.9285714285699,11,3,0.5499999999999999
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'atr_multiplier': 1.2, 'tp_multiplier': 1.5}",14,78.57142857142857,460.9999999999786,32.9285714285699,2.578767123287559,752.9999999999859,292.0000000000073,68.45454545454417,-97.33333333333576,32.9285714285699,11,3,0.5499999999999999
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'atr_multiplier': 1.5, 'tp_multiplier': 1.5}",14,78.57142857142857,460.9999999999786,32.9285714285699,2.578767123287559,752.9999999999859,292.0000000000073,68.45454545454417,-97.33333333333576,32.9285714285699,11,3,0.5499999999999999
"{'ema_length': 20, 'ema_backcandles': 14, 'hl_backcandles': 14, 'atr_multiplier': 1.0, 'tp_multiplier': 1.5}",14,78.57142857142857,460.9999999999786,32.9285714285699,2.578767123287559,752.9999999999859,292.0000000000073,68.45454545454417,-97.33333333333576,32.9285714285699,11,3,0.5499999999999999
"{'ema_length': 20, 'ema_backcandles': 14, 'hl_backcandles': 14, 'atr_multiplier': 1.2, 'tp_multiplier': 1.5}",14,78.57142857142857,460.9999999999786,32.9285714285699,2.578767123287559,752.9999999999859,292.0000000000073,68.45454545454417,-97.33333333333576,32.9285714285699,11,3,0.5499999999999999
"{'ema_length': 20, 'ema_backcandles': 14, 'hl_backcandles': 14, 'atr_multiplier': 1.5, 'tp_multiplier': 1.5}",14,78.57142857142857,460.9999999999786,32.9285714285699,2.578767123287559,752.9999999999859,292.0000000000073,68.45454545454417,-97.33333333333576,32.9285714285699,11,3,0.5499999999999999
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'atr_multiplier': 1.0, 'tp_multiplier': 2.0}",14,78.57142857142857,459.99999999996817,32.85714285714058,2.5753424657532764,751.9999999999754,292.0000000000073,68.36363636363413,-97.33333333333576,32.85714285714058,11,3,0.5499999999999999
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'atr_multiplier': 1.2, 'tp_multiplier': 2.0}",14,78.57142857142857,459.99999999996817,32.85714285714058,2.5753424657532764,751.9999999999754,292.0000000000073,68.36363636363413,-97.33333333333576,32.85714285714058,11,3,0.5499999999999999
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'atr_multiplier': 1.5, 'tp_multiplier': 2.0}",14,78.57142857142857,459.99999999996817,32.85714285714058,2.5753424657532764,751.9999999999754,292.0000000000073,68.36363636363413,-97.33333333333576,32.85714285714058,11,3,0.5499999999999999
