entry_time,exit_time,entry_price,exit_price,pnl,type,exit_reason,duration_minutes,duration_bars
2024-11-04 13:01:00-05:00,2024-11-04 13:02:00-05:00,570.7,570.34,-36.000000000001364,LONG,SL,1.0,1
2024-11-06 10:00:00-05:00,2024-11-06 10:01:00-05:00,586.12,587.13,100.99999999999909,LONG,TP,1.0,1
2024-11-06 10:09:00-05:00,2024-11-06 10:16:00-05:00,586.74,587.85,111.00000000000136,LONG,TP,7.0,7
2024-11-06 11:08:00-05:00,2024-11-06 11:10:00-05:00,586.64,587.43,-78.99999999999636,SHORT,SL,2.0,2
2024-11-07 10:10:00-05:00,2024-11-07 10:25:00-05:00,594.18,594.37,19.000000000005457,LONG,MAX_HOLD_BARS,15.0,15
2024-11-07 10:57:00-05:00,2024-11-07 11:03:00-05:00,594.8,594.59,-20.99999999999227,LONG,SL,6.0,6
2024-11-07 15:25:00-05:00,2024-11-07 15:31:00-05:00,596.45,596.3,-15.000000000009095,LONG,APPROACHING_CLOSE,6.0,6
2024-11-11 13:17:00-05:00,2024-11-11 13:21:00-05:00,597.66,597.12,53.99999999999636,SHORT,TP,4.0,4
2024-11-13 11:36:00-05:00,2024-11-13 11:40:00-05:00,598.03,597.57,-45.99999999999227,LONG,SL,4.0,4
2024-11-15 10:17:00-05:00,2024-11-15 10:32:00-05:00,587.21,586.7,50.99999999999909,SHORT,MAX_HOLD_BARS,15.0,15
2024-11-18 10:25:00-05:00,2024-11-18 10:29:00-05:00,586.89,587.36,47.00000000000273,LONG,TP,4.0,4
2024-11-18 10:59:00-05:00,2024-11-18 11:13:00-05:00,588.19,588.49,29.999999999995453,LONG,TP,14.0,14
2024-11-18 11:31:00-05:00,2024-11-18 11:38:00-05:00,588.92,589.37,45.00000000000455,LONG,TP,7.0,7
2024-11-19 10:58:00-05:00,2024-11-19 11:13:00-05:00,587.79,588.13,34.00000000000318,LONG,MAX_HOLD_BARS,15.0,15
2024-11-19 14:08:00-05:00,2024-11-19 14:17:00-05:00,590.77,590.42,-35.000000000002274,LONG,SL,9.0,9
2024-11-20 10:03:00-05:00,2024-11-20 10:05:00-05:00,587.61,586.67,94.00000000000546,SHORT,TP,2.0,2
2024-11-20 10:55:00-05:00,2024-11-20 11:00:00-05:00,587.16,587.67,50.99999999999909,LONG,TP,5.0,5
2024-11-21 11:12:00-05:00,2024-11-21 11:27:00-05:00,591.59,592.31,71.99999999999136,LONG,MAX_HOLD_BARS,15.0,15
2024-11-21 12:52:00-05:00,2024-11-21 13:07:00-05:00,593.94,594.19,25.0,LONG,MAX_HOLD_BARS,15.0,15
2024-11-25 09:46:00-05:00,2024-11-25 09:49:00-05:00,600.7,600.0,-70.00000000000455,LONG,SL,3.0,3
2024-11-26 09:43:00-05:00,2024-11-26 09:58:00-05:00,599.0,598.86,-13.999999999998636,LONG,MAX_HOLD_BARS,15.0,15
2024-11-26 13:08:00-05:00,2024-11-26 13:12:00-05:00,600.11,599.7,-40.99999999999682,LONG,SL,4.0,4
2024-11-27 10:35:00-05:00,2024-11-27 10:37:00-05:00,599.28,598.66,62.000000000000455,SHORT,TP,2.0,2
2024-11-27 11:11:00-05:00,2024-11-27 11:26:00-05:00,598.55,598.54,0.9999999999990905,SHORT,MAX_HOLD_BARS,15.0,15
2024-11-29 11:21:00-05:00,2024-11-29 11:36:00-05:00,602.26,602.07,-18.99999999999409,LONG,MAX_HOLD_BARS,15.0,15
2024-11-29 12:04:00-05:00,2024-11-29 12:06:00-05:00,602.74,602.96,22.00000000000273,LONG,TP,2.0,2
2024-11-29 12:16:00-05:00,2024-11-29 12:28:00-05:00,603.02,602.75,-26.99999999999818,LONG,SL,12.0,12
2024-12-02 14:27:00-05:00,2024-12-02 14:28:00-05:00,603.15,603.37,-22.00000000000273,SHORT,SL,1.0,1
2024-12-06 13:28:00-05:00,2024-12-06 13:30:00-05:00,608.22,607.96,-25.99999999999909,LONG,SL,2.0,2
2024-12-06 14:24:00-05:00,2024-12-06 14:39:00-05:00,607.23,607.24,-0.9999999999990905,SHORT,MAX_HOLD_BARS,15.0,15
2024-12-09 10:44:00-05:00,2024-12-09 10:45:00-05:00,606.31,605.95,35.999999999989996,SHORT,TP,1.0,1
2024-12-12 09:44:00-05:00,2024-12-12 09:59:00-05:00,606.04,606.2,-16.000000000008185,SHORT,MAX_HOLD_BARS,15.0,15
2024-12-12 13:52:00-05:00,2024-12-12 14:00:00-05:00,605.98,605.57,40.99999999999682,SHORT,TP,8.0,8
2024-12-13 09:52:00-05:00,2024-12-13 09:53:00-05:00,606.9,606.47,-42.999999999995,LONG,SL,1.0,1
2024-12-17 10:20:00-05:00,2024-12-17 10:35:00-05:00,603.43,603.22,20.99999999999227,SHORT,MAX_HOLD_BARS,15.0,15
