params,total_trades,win_rate,total_pnl,avg_pnl,profit_factor,gross_profit,gross_loss,avg_win,avg_loss,avg_rr_ratio,winning_trades,losing_trades,composite_score
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 3.0}",6,100.0,536.9999999999891,89.49999999999818,inf,536.9999999999891,0.0,89.49999999999818,0.0,0.0,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.0}",6,100.0,505.9999999999832,84.33333333333053,inf,505.9999999999832,0.0,84.33333333333053,0.0,0.0,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.5}",6,100.0,505.9999999999832,84.33333333333053,inf,505.9999999999832,0.0,84.33333333333053,0.0,0.0,6,0,
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 1.5}",6,100.0,456.99999999999363,76.1666666666656,inf,456.99999999999363,0.0,76.1666666666656,0.0,0.0,6,0,
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 3.0}",14,78.57142857142857,490.9999999999741,35.07142857142672,2.6815068493149377,782.9999999999814,292.0000000000073,71.18181818181648,-97.33333333333576,0.7313200498131648,11,3,0.4714285714285714
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 1.5}",14,78.57142857142857,460.9999999999786,32.9285714285699,2.578767123287559,752.9999999999859,292.0000000000073,68.45454545454417,-97.33333333333576,0.7033001245329705,11,3,0.4714285714285714
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.0}",14,78.57142857142857,459.99999999996817,32.85714285714058,2.5753424657532764,751.9999999999754,292.0000000000073,68.36363636363413,-97.33333333333576,0.7023661270236208,11,3,0.4714285714285714
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.5}",14,78.57142857142857,459.99999999996817,32.85714285714058,2.5753424657532764,751.9999999999754,292.0000000000073,68.36363636363413,-97.33333333333576,0.7023661270236208,11,3,0.4714285714285714
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.0}",106,53.77358490566038,2508.9999999999404,23.669811320754157,1.8563139931740356,5438.999999999958,2930.000000000018,95.42105263157822,-59.79591836734731,1.5957786958864517,57,49,0.32264150943396225
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.5}",106,53.77358490566038,2417.999999999904,22.811320754716075,1.8252559726962077,5347.999999999922,2930.000000000018,93.8245614035074,-59.79591836734731,1.5690796958265645,57,49,0.32264150943396225
