Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-11-08 09:30:00-05:00,596.1699829101562,597.5798950195312,596.1649780273438,597.3350219726562,6647628,0.0,0.0,0.0
2024-11-08 10:30:00-05:00,597.3300170898438,598.0800170898438,597.22998046875,597.9899291992188,4291137,0.0,0.0,0.0
2024-11-08 11:30:00-05:00,597.97998046875,598.219970703125,597.4400024414062,597.6400146484375,4149684,0.0,0.0,0.0
2024-11-08 12:30:00-05:00,597.6699829101562,598.3499755859375,597.6099853515625,598.1749877929688,2590616,0.0,0.0,0.0
2024-11-08 13:30:00-05:00,598.1599731445312,599.25,598.1400146484375,599.22998046875,4147990,0.0,0.0,0.0
2024-11-08 14:30:00-05:00,599.27001953125,599.6400146484375,598.239990234375,598.25,5752043,0.0,0.0,0.0
2024-11-08 15:30:00-05:00,598.280029296875,598.3123168945312,597.6199951171875,598.239990234375,10548855,0.0,0.0,0.0
2024-11-11 09:30:00-05:00,599.989990234375,600.1699829101562,598.530029296875,598.8699951171875,7391401,0.0,0.0,0.0
2024-11-11 10:30:00-05:00,598.8800048828125,599.9500122070312,598.8800048828125,599.0900268554688,3623554,0.0,0.0,0.0
2024-11-11 11:30:00-05:00,599.0999755859375,599.5599975585938,598.6849975585938,598.80908203125,1977105,0.0,0.0,0.0
2024-11-11 12:30:00-05:00,598.7999877929688,599.030029296875,597.0,597.8499755859375,4612077,0.0,0.0,0.0
2024-11-11 13:30:00-05:00,597.8499755859375,598.6400146484375,597.5701293945312,598.1436767578125,2244888,0.0,0.0,0.0
2024-11-11 14:30:00-05:00,598.1599731445312,598.5888061523438,598.010009765625,598.2799072265625,3052366,0.0,0.0,0.0
2024-11-11 15:30:00-05:00,598.27001953125,598.8350219726562,597.97998046875,598.719970703125,7283055,0.0,0.0,0.0
2024-11-12 09:30:00-05:00,598.6799926757812,599.2899780273438,597.7899780273438,597.9534301757812,6625161,0.0,0.0,0.0
2024-11-12 10:30:00-05:00,597.9650268554688,598.3798828125,596.97998046875,597.1799926757812,3120433,0.0,0.0,0.0
2024-11-12 11:30:00-05:00,597.1798706054688,597.3499145507812,596.0399780273438,596.4924926757812,3059145,0.0,0.0,0.0
2024-11-12 12:30:00-05:00,596.489990234375,596.6699829101562,594.4500122070312,595.8234252929688,5111232,0.0,0.0,0.0
2024-11-12 13:30:00-05:00,595.8099975585938,598.280029296875,595.7999877929688,597.97998046875,3921707,0.0,0.0,0.0
2024-11-12 14:30:00-05:00,597.97998046875,598.4000244140625,597.1799926757812,597.3900146484375,5016605,0.0,0.0,0.0
2024-11-12 15:30:00-05:00,597.3900146484375,597.5700073242188,596.510009765625,596.8699951171875,6685041,0.0,0.0,0.0
2024-11-13 09:30:00-05:00,597.3699951171875,597.719970703125,594.9600219726562,596.3200073242188,7383708,0.0,0.0,0.0
2024-11-13 10:30:00-05:00,596.3499755859375,598.1400146484375,596.0499877929688,597.97998046875,3493972,0.0,0.0,0.0
2024-11-13 11:30:00-05:00,597.969970703125,599.0598754882812,597.219970703125,598.4600219726562,3495807,0.0,0.0,0.0
2024-11-13 12:30:00-05:00,598.4500122070312,599.22998046875,598.2899780273438,598.760009765625,3478074,0.0,0.0,0.0
2024-11-13 13:30:00-05:00,598.7550048828125,599.1500244140625,597.7999877929688,597.9425048828125,2964581,0.0,0.0,0.0
2024-11-13 14:30:00-05:00,597.9199829101562,598.1400146484375,596.6849975585938,597.5900268554688,5928055,0.0,0.0,0.0
2024-11-13 15:30:00-05:00,597.5700073242188,598.5399780273438,596.47998046875,597.1699829101562,13490464,0.0,0.0,0.0
2024-11-14 09:30:00-05:00,597.3200073242188,597.8099975585938,595.1248168945312,596.4199829101562,6566680,0.0,0.0,0.0
2024-11-14 10:30:00-05:00,596.4099731445312,596.9400024414062,595.8599853515625,596.4600219726562,2730235,0.0,0.0,0.0
2024-11-14 11:30:00-05:00,596.489990234375,596.9299926757812,594.7000122070312,594.8298950195312,3115376,0.0,0.0,0.0
2024-11-14 12:30:00-05:00,594.8200073242188,595.7200927734375,593.75,595.139892578125,3520122,0.0,0.0,0.0
2024-11-14 13:30:00-05:00,595.1199951171875,595.3099975585938,593.77001953125,595.1500244140625,2937077,0.0,0.0,0.0
2024-11-14 14:30:00-05:00,595.1300048828125,595.7899780273438,593.02001953125,594.1400146484375,5064339,0.0,0.0,0.0
2024-11-14 15:30:00-05:00,594.1500244140625,594.3699951171875,592.6500244140625,593.3699951171875,8718052,0.0,0.0,0.0
