date,open,high,low,close,volume,average,barCount
2025-08-29 09:30:00-04:00,574.67,575.03,574.14,574.35,1277840.0,574.539,8387
2025-08-29 09:35:00-04:00,574.33,574.45,573.26,573.3,969171.0,573.907,6409
2025-08-29 09:40:00-04:00,573.3,574.04,573.12,573.42,938401.0,573.524,6542
2025-08-29 09:45:00-04:00,573.42,573.43,571.9,572.03,1223981.0,572.433,9105
2025-08-29 09:50:00-04:00,572.02,572.81,571.61,572.17,859078.0,572.259,6776
2025-08-29 09:55:00-04:00,572.19,572.44,571.15,571.44,940560.0,571.625,6582
2025-08-29 10:00:00-04:00,571.46,572.23,570.53,570.55,1091680.0,571.402,7989
2025-08-29 10:05:00-04:00,570.53,570.75,569.55,569.98,1166307.0,570.1,8772
2025-08-29 10:10:00-04:00,569.98,570.31,569.34,569.98,1096745.0,569.821,7906
2025-08-29 10:15:00-04:00,569.99,570.21,569.25,570.11,822822.0,569.776,5942
2025-08-29 10:20:00-04:00,570.12,570.96,570.04,570.66,942115.0,570.635,6949
2025-08-29 10:25:00-04:00,570.65,570.96,569.73,570.95,701279.0,570.261,4767
2025-08-29 10:30:00-04:00,570.95,571.13,570.41,570.78,561984.0,570.858,3964
2025-08-29 10:35:00-04:00,570.78,571.33,570.49,571.22,447201.0,570.976,3201
2025-08-29 10:40:00-04:00,571.19,571.37,570.26,570.29,438509.0,570.873,3145
2025-08-29 10:45:00-04:00,570.29,570.53,569.61,569.76,604407.0,570.084,4807
2025-08-29 10:50:00-04:00,569.76,569.83,569.09,569.44,526505.0,569.407,3906
2025-08-29 10:55:00-04:00,569.46,569.84,568.96,569.42,531375.0,569.389,3691
2025-08-29 11:00:00-04:00,569.41,569.93,569.27,569.77,485792.0,569.647,3103
2025-08-29 11:05:00-04:00,569.78,570.42,569.63,570.35,405435.0,570.008,2702
2025-08-29 11:10:00-04:00,570.33,570.56,570.14,570.2,296963.0,570.366,2081
2025-08-29 11:15:00-04:00,570.2,570.52,570.04,570.27,251745.0,570.275,1736
2025-08-29 11:20:00-04:00,570.24,570.75,570.21,570.69,275062.0,570.449,1802
2025-08-29 11:25:00-04:00,570.68,570.93,570.4,570.54,314055.0,570.707,2032
2025-08-29 11:30:00-04:00,570.53,570.65,569.97,570.0,378922.0,570.225,2654
2025-08-29 11:35:00-04:00,570.01,570.42,569.8,570.13,267778.0,570.112,1996
2025-08-29 11:40:00-04:00,570.13,570.34,569.9,569.94,293720.0,570.092,2036
2025-08-29 11:45:00-04:00,569.94,569.97,569.68,569.75,293428.0,569.812,1842
2025-08-29 11:50:00-04:00,569.72,570.0,569.41,569.66,319981.0,569.686,2088
2025-08-29 11:55:00-04:00,569.65,569.81,569.17,569.32,350300.0,569.496,2367
2025-08-29 12:00:00-04:00,569.33,569.92,569.26,569.81,392594.0,569.647,2268
2025-08-29 12:05:00-04:00,569.8,569.92,569.36,569.85,258050.0,569.681,1660
2025-08-29 12:10:00-04:00,569.84,570.4,569.78,570.27,247746.0,570.163,1492
2025-08-29 12:15:00-04:00,570.25,570.46,570.11,570.28,203966.0,570.31,1167
2025-08-29 12:20:00-04:00,570.28,570.44,570.19,570.27,162448.0,570.294,988
2025-08-29 12:25:00-04:00,570.28,570.37,569.72,569.86,203596.0,569.988,1276
2025-08-29 12:30:00-04:00,569.85,570.41,569.84,570.33,177278.0,570.225,1155
2025-08-29 12:35:00-04:00,570.34,570.55,570.25,570.51,162161.0,570.389,1011
2025-08-29 12:40:00-04:00,570.52,570.58,570.36,570.57,166103.0,570.498,992
2025-08-29 12:45:00-04:00,570.55,570.74,570.37,570.42,292682.0,570.636,1874
2025-08-29 12:50:00-04:00,570.42,570.62,570.28,570.57,273739.0,570.449,1608
2025-08-29 12:55:00-04:00,570.56,570.69,570.4,570.43,258553.0,570.555,1688
2025-08-29 13:00:00-04:00,570.4,570.4,569.32,569.33,408850.0,569.924,2651
2025-08-29 13:05:00-04:00,569.36,569.7,569.09,569.59,286889.0,569.469,1992
2025-08-29 13:10:00-04:00,569.59,569.59,568.95,569.01,267448.0,569.172,1935
2025-08-29 13:15:00-04:00,569.02,569.14,568.54,568.88,373578.0,568.817,2538
2025-08-29 13:20:00-04:00,568.89,569.39,568.89,569.26,282438.0,569.196,1877
2025-08-29 13:25:00-04:00,569.26,569.49,569.13,569.22,183659.0,569.304,1121
2025-08-29 13:30:00-04:00,569.23,569.6,569.01,569.1,274102.0,569.272,1740
2025-08-29 13:35:00-04:00,569.1,569.46,568.93,569.41,248197.0,569.205,1686
2025-08-29 13:40:00-04:00,569.42,569.67,569.3,569.55,221832.0,569.471,1535
2025-08-29 13:45:00-04:00,569.56,569.96,569.53,569.87,203009.0,569.756,1491
2025-08-29 13:50:00-04:00,569.87,570.38,569.78,570.11,375716.0,570.131,2284
2025-08-29 13:55:00-04:00,570.11,570.2,569.64,569.97,241204.0,569.943,1750
2025-08-29 14:00:00-04:00,569.97,569.98,569.6,569.64,237665.0,569.735,1558
2025-08-29 14:05:00-04:00,569.65,570.12,569.57,570.09,216295.0,569.842,1269
2025-08-29 14:10:00-04:00,570.07,570.16,569.77,570.01,157879.0,569.976,1041
2025-08-29 14:15:00-04:00,570.0,570.11,569.89,569.97,132916.0,569.997,831
2025-08-29 14:20:00-04:00,569.96,569.96,569.44,569.8,269939.0,569.693,1975
2025-08-29 14:25:00-04:00,569.8,569.91,569.46,569.54,182342.0,569.661,1130
2025-08-29 14:30:00-04:00,569.55,570.07,569.55,570.0,217242.0,569.864,1294
2025-08-29 14:35:00-04:00,569.99,570.08,569.72,569.73,199331.0,569.941,1171
2025-08-29 14:40:00-04:00,569.73,569.85,569.58,569.61,141581.0,569.696,898
2025-08-29 14:45:00-04:00,569.61,569.77,569.56,569.61,152534.0,569.655,991
2025-08-29 14:50:00-04:00,569.61,569.82,569.48,569.76,209652.0,569.651,1324
2025-08-29 14:55:00-04:00,569.76,570.0,569.65,569.99,192386.0,569.79,1105
2025-08-29 15:00:00-04:00,569.98,570.08,569.83,569.99,252972.0,569.98,1744
2025-08-29 15:05:00-04:00,569.99,570.29,569.94,570.24,232034.0,570.144,1537
2025-08-29 15:10:00-04:00,570.25,570.37,570.05,570.18,312915.0,570.207,2017
2025-08-29 15:15:00-04:00,570.18,570.43,570.15,570.41,261228.0,570.331,1806
2025-08-29 15:20:00-04:00,570.41,570.63,570.2,570.31,342330.0,570.413,2352
2025-08-29 15:25:00-04:00,570.31,570.31,569.92,570.1,317882.0,570.117,2116
2025-08-29 15:30:00-04:00,570.1,570.33,570.03,570.04,374788.0,570.165,2528
2025-08-29 15:35:00-04:00,570.04,570.08,569.66,569.98,437491.0,569.873,2796
2025-08-29 15:40:00-04:00,569.98,570.56,569.93,570.44,572762.0,570.29,3752
2025-08-29 15:45:00-04:00,570.44,570.85,570.22,570.35,937388.0,570.491,5268
2025-08-29 15:50:00-04:00,570.35,570.51,569.2,569.25,1107887.0,569.72,7846
2025-08-29 15:55:00-04:00,569.24,570.33,569.18,570.29,2552213.0,569.783,15775
2025-09-02 09:30:00-04:00,561.31,561.36,559.53,560.91,3266640.0,560.51,19592
2025-09-02 09:35:00-04:00,560.89,562.85,560.84,562.14,1867996.0,562.14,12453
2025-09-02 09:40:00-04:00,562.12,563.19,561.98,562.57,1269407.0,562.584,7852
2025-09-02 09:45:00-04:00,562.52,563.76,562.27,563.71,1368736.0,563.103,7926
2025-09-02 09:50:00-04:00,563.72,564.99,563.54,564.99,1371514.0,564.452,8623
2025-09-02 09:55:00-04:00,564.99,565.23,564.27,564.59,992659.0,564.766,5873
2025-09-02 10:00:00-04:00,564.61,565.7,564.21,564.41,1256534.0,564.854,7367
2025-09-02 10:05:00-04:00,564.48,564.58,563.85,564.01,949996.0,564.173,6533
2025-09-02 10:10:00-04:00,564.04,564.71,563.66,563.95,1009561.0,564.124,6981
2025-09-02 10:15:00-04:00,563.94,564.68,563.44,564.3,736362.0,564.06,4927
2025-09-02 10:20:00-04:00,564.32,565.1,563.8,563.89,855915.0,564.596,5733
2025-09-02 10:25:00-04:00,563.88,565.26,563.62,565.24,901099.0,564.3,6007
2025-09-02 10:30:00-04:00,565.22,565.22,564.39,564.98,601586.0,564.831,3833
2025-09-02 10:35:00-04:00,564.97,565.22,564.19,564.35,520116.0,564.809,3290
2025-09-02 10:40:00-04:00,564.36,564.37,563.23,563.32,691573.0,563.73,4612
2025-09-02 10:45:00-04:00,563.34,563.45,562.38,562.42,772121.0,562.918,5151
2025-09-02 10:50:00-04:00,562.42,562.86,562.19,562.59,564726.0,562.522,4004
2025-09-02 10:55:00-04:00,562.57,562.96,562.23,562.85,584799.0,562.653,3992
2025-09-02 11:00:00-04:00,562.86,563.25,562.37,562.39,460844.0,562.896,3245
2025-09-02 11:05:00-04:00,562.39,562.46,561.93,562.29,528272.0,562.214,3579
2025-09-02 11:10:00-04:00,562.31,562.58,561.89,562.06,394608.0,562.177,2622
2025-09-02 11:15:00-04:00,562.06,562.17,561.26,561.49,578237.0,561.714,3647
2025-09-02 11:20:00-04:00,561.5,561.73,561.24,561.63,408690.0,561.491,2576
2025-09-02 11:25:00-04:00,561.62,561.98,561.52,561.58,516900.0,561.703,3501
2025-09-02 11:30:00-04:00,561.57,561.57,561.04,561.06,422537.0,561.282,2644
2025-09-02 11:35:00-04:00,561.07,561.09,560.26,560.29,744371.0,560.606,4350
2025-09-02 11:40:00-04:00,560.29,560.55,560.15,560.24,460900.0,560.343,2898
2025-09-02 11:45:00-04:00,560.25,560.51,560.1,560.2,383533.0,560.286,2238
2025-09-02 11:50:00-04:00,560.19,560.21,559.57,559.83,584506.0,559.8,3512
2025-09-02 11:55:00-04:00,559.82,560.31,559.63,560.09,525113.0,559.961,3306
2025-09-02 12:00:00-04:00,560.09,560.49,559.93,559.99,541732.0,560.285,3029
2025-09-02 12:05:00-04:00,559.99,560.4,559.84,559.85,411944.0,560.132,2211
2025-09-02 12:10:00-04:00,559.85,560.58,559.84,560.4,430803.0,560.294,2578
2025-09-02 12:15:00-04:00,560.4,560.9,560.39,560.89,384054.0,560.668,2528
2025-09-02 12:20:00-04:00,560.89,560.97,560.65,560.69,326223.0,560.804,2145
2025-09-02 12:25:00-04:00,560.71,560.81,560.4,560.55,261369.0,560.617,1718
2025-09-02 12:30:00-04:00,560.55,560.8,560.54,560.61,244077.0,560.661,1764
2025-09-02 12:35:00-04:00,560.61,561.1,560.56,560.68,334149.0,560.83,2159
2025-09-02 12:40:00-04:00,560.7,561.45,560.7,561.12,318771.0,561.12,2259
2025-09-02 12:45:00-04:00,561.09,561.39,560.68,560.99,389555.0,561.043,2535
2025-09-02 12:50:00-04:00,560.98,561.59,560.91,561.52,337873.0,561.345,2019
2025-09-02 12:55:00-04:00,561.51,562.1,561.5,561.99,423015.0,561.876,2784
2025-09-02 13:00:00-04:00,562.0,562.33,561.92,562.2,488660.0,562.14,2767
2025-09-02 13:05:00-04:00,562.2,562.4,562.03,562.07,338027.0,562.226,2157
2025-09-02 13:10:00-04:00,562.07,562.13,561.45,561.73,430497.0,561.761,2563
2025-09-02 13:15:00-04:00,561.72,562.02,561.64,561.97,234611.0,561.828,1555
2025-09-02 13:20:00-04:00,561.97,562.52,561.96,562.43,261885.0,562.193,1736
2025-09-02 13:25:00-04:00,562.43,563.0,562.42,562.81,497595.0,562.73,2921
2025-09-02 13:30:00-04:00,562.81,563.62,562.81,563.55,539752.0,563.209,3148
2025-09-02 13:35:00-04:00,563.56,564.05,563.45,564.0,453952.0,563.701,2797
2025-09-02 13:40:00-04:00,563.98,564.31,563.82,564.21,521673.0,564.092,3264
2025-09-02 13:45:00-04:00,564.22,564.32,563.98,564.21,366714.0,564.123,2385
2025-09-02 13:50:00-04:00,564.2,564.36,563.64,563.65,381175.0,564.024,2511
2025-09-02 13:55:00-04:00,563.65,563.85,563.45,563.48,372904.0,563.651,2483
2025-09-02 14:00:00-04:00,563.47,563.93,563.43,563.7,488115.0,563.722,2516
2025-09-02 14:05:00-04:00,563.7,563.75,563.19,563.24,500572.0,563.41,2698
2025-09-02 14:10:00-04:00,563.25,563.51,563.17,563.28,381357.0,563.35,2248
2025-09-02 14:15:00-04:00,563.28,563.39,562.96,562.96,310100.0,563.192,2054
2025-09-02 14:20:00-04:00,562.95,563.47,562.89,563.24,316558.0,563.182,1703
2025-09-02 14:25:00-04:00,563.24,563.34,562.85,562.89,236052.0,563.077,1581
2025-09-02 14:30:00-04:00,562.9,563.36,562.86,563.1,327694.0,563.121,2062
2025-09-02 14:35:00-04:00,563.09,563.13,562.83,563.06,247617.0,562.977,1662
2025-09-02 14:40:00-04:00,563.06,563.08,562.74,562.99,231101.0,562.884,1542
2025-09-02 14:45:00-04:00,562.99,563.76,562.88,563.46,404957.0,563.339,2587
2025-09-02 14:50:00-04:00,563.46,564.53,563.45,564.08,683750.0,564.088,4101
2025-09-02 14:55:00-04:00,564.09,564.12,563.41,563.5,382782.0,563.686,2526
2025-09-02 15:00:00-04:00,563.51,564.09,563.47,564.02,457756.0,563.836,3087
2025-09-02 15:05:00-04:00,564.0,564.16,563.79,564.02,186627.0,563.979,1385
2025-09-02 15:10:00-04:00,564.04,564.35,563.83,564.3,294352.0,564.123,2056
2025-09-02 15:15:00-04:00,564.29,564.65,564.15,564.52,378304.0,564.413,2321
2025-09-02 15:20:00-04:00,564.5,564.73,564.31,564.39,357755.0,564.514,2375
2025-09-02 15:25:00-04:00,564.38,564.68,564.26,564.59,327979.0,564.534,2149
2025-09-02 15:30:00-04:00,564.58,564.9,564.5,564.62,482121.0,564.715,3183
2025-09-02 15:35:00-04:00,564.62,565.02,564.53,564.99,500222.0,564.862,3233
2025-09-02 15:40:00-04:00,564.99,565.26,564.83,564.94,705781.0,565.072,4630
2025-09-02 15:45:00-04:00,564.93,565.09,564.64,565.05,603596.0,564.851,4076
2025-09-02 15:50:00-04:00,565.05,565.86,564.84,565.73,1209310.0,565.428,7736
2025-09-02 15:55:00-04:00,565.72,565.97,565.27,565.63,1640603.0,565.668,10169
2025-09-03 09:30:00-04:00,569.29,569.6,568.21,568.65,1518653.0,568.945,10037
2025-09-03 09:35:00-04:00,568.69,569.17,568.03,568.55,882973.0,568.518,6921
2025-09-03 09:40:00-04:00,568.53,568.88,568.1,568.64,756711.0,568.534,6119
2025-09-03 09:45:00-04:00,568.64,568.96,567.98,568.81,770104.0,568.475,5831
2025-09-03 09:50:00-04:00,568.82,569.44,568.65,568.87,686009.0,569.027,5381
2025-09-03 09:55:00-04:00,568.87,569.01,568.1,568.28,617124.0,568.391,4312
2025-09-03 10:00:00-04:00,568.27,569.89,568.06,569.58,864972.0,569.21,6539
2025-09-03 10:05:00-04:00,569.58,570.13,569.32,569.51,587141.0,569.697,4000
2025-09-03 10:10:00-04:00,569.51,569.93,568.3,568.51,817462.0,568.979,6089
2025-09-03 10:15:00-04:00,568.52,569.8,568.51,569.74,492675.0,569.099,3720
2025-09-03 10:20:00-04:00,569.71,570.04,569.49,569.92,502603.0,569.846,3418
2025-09-03 10:25:00-04:00,569.92,570.41,569.45,569.51,813056.0,570.037,5495
2025-09-03 10:30:00-04:00,569.51,570.55,569.49,570.52,451468.0,570.172,3367
2025-09-03 10:35:00-04:00,570.5,570.75,570.39,570.66,441834.0,570.573,3336
2025-09-03 10:40:00-04:00,570.62,571.47,570.62,571.29,691729.0,571.081,5032
2025-09-03 10:45:00-04:00,571.27,571.65,571.03,571.5,528578.0,571.384,3958
2025-09-03 10:50:00-04:00,571.5,571.7,571.06,571.35,469946.0,571.471,3617
2025-09-03 10:55:00-04:00,571.35,571.45,571.13,571.32,296778.0,571.327,2201
2025-09-03 11:00:00-04:00,571.31,571.49,571.06,571.31,636899.0,571.255,2941
2025-09-03 11:05:00-04:00,571.3,571.47,570.88,571.25,379238.0,571.205,2705
2025-09-03 11:10:00-04:00,571.29,571.4,570.86,570.9,313013.0,571.136,2180
2025-09-03 11:15:00-04:00,570.9,571.01,570.51,570.73,318954.0,570.714,2307
2025-09-03 11:20:00-04:00,570.72,570.82,570.05,570.38,368844.0,570.353,2563
2025-09-03 11:25:00-04:00,570.36,570.4,569.19,569.28,614449.0,569.656,4152
2025-09-03 11:30:00-04:00,569.26,569.45,568.86,569.09,775631.0,569.102,5427
2025-09-03 11:35:00-04:00,569.08,569.66,569.08,569.64,742197.0,569.474,3243
2025-09-03 11:40:00-04:00,569.64,569.84,569.36,569.44,309583.0,569.617,2279
2025-09-03 11:45:00-04:00,569.43,569.52,568.93,569.32,373170.0,569.208,2574
2025-09-03 11:50:00-04:00,569.31,569.63,569.04,569.42,355509.0,569.349,2660
2025-09-03 11:55:00-04:00,569.39,569.39,568.78,569.09,325610.0,569.09,2438
