date,open,high,low,close,volume,average,barCount
2025-08-29 09:30:00-04:00,647.46,647.84,647.28,647.41,1516761.0,647.526,9069
2025-08-29 09:35:00-04:00,647.39,647.44,646.85,646.87,1016100.0,647.167,6541
2025-08-29 09:40:00-04:00,646.87,647.28,646.8,647.01,853774.0,647.019,5768
2025-08-29 09:45:00-04:00,647.01,647.01,646.06,646.1,1302374.0,646.416,9009
2025-08-29 09:50:00-04:00,646.1,646.35,645.77,645.96,1009088.0,646.081,6987
2025-08-29 09:55:00-04:00,645.96,646.16,645.34,645.51,1068464.0,645.645,6589
2025-08-29 10:00:00-04:00,645.5,646.07,644.6,644.62,1354034.0,645.394,8191
2025-08-29 10:05:00-04:00,644.62,644.75,643.79,644.08,1538492.0,644.166,10137
2025-08-29 10:10:00-04:00,644.06,644.39,643.84,644.33,1521488.0,644.124,9425
2025-08-29 10:15:00-04:00,644.32,644.32,643.63,644.13,1166667.0,643.924,6361
2025-08-29 10:20:00-04:00,644.09,644.79,644.08,644.43,790196.0,644.519,4981
2025-08-29 10:25:00-04:00,644.42,644.68,643.81,644.67,657355.0,644.17,3996
2025-08-29 10:30:00-04:00,644.67,644.93,644.33,644.83,554632.0,644.675,3557
2025-08-29 10:35:00-04:00,644.8,645.01,644.53,644.97,485396.0,644.789,3290
2025-08-29 10:40:00-04:00,644.96,645.11,644.17,644.2,640782.0,644.759,3985
2025-08-29 10:45:00-04:00,644.2,644.36,643.52,643.71,625719.0,643.969,3966
2025-08-29 10:50:00-04:00,643.71,643.78,643.14,643.72,923281.0,643.463,5562
2025-08-29 10:55:00-04:00,643.73,644.03,643.52,643.82,635847.0,643.736,4010
2025-08-29 11:00:00-04:00,643.82,644.24,643.68,644.08,402275.0,644.012,2622
2025-08-29 11:05:00-04:00,644.09,644.7,644.03,644.64,415943.0,644.364,2718
2025-08-29 11:10:00-04:00,644.62,644.76,644.34,644.36,416091.0,644.57,2505
2025-08-29 11:15:00-04:00,644.37,644.61,644.21,644.35,378465.0,644.41,2352
2025-08-29 11:20:00-04:00,644.34,644.61,644.2,644.56,282545.0,644.404,1964
2025-08-29 11:25:00-04:00,644.55,644.77,644.3,644.41,369441.0,644.535,2218
2025-08-29 11:30:00-04:00,644.41,644.55,644.0,644.06,315788.0,644.228,2080
2025-08-29 11:35:00-04:00,644.07,644.51,644.06,644.35,370568.0,644.298,2479
2025-08-29 11:40:00-04:00,644.34,644.47,644.13,644.15,297208.0,644.259,1981
2025-08-29 11:45:00-04:00,644.13,644.26,643.97,644.0,274805.0,644.098,1827
2025-08-29 11:50:00-04:00,643.99,644.12,643.71,643.91,372471.0,643.897,2518
2025-08-29 11:55:00-04:00,643.91,644.1,643.73,643.78,427769.0,643.87,2441
2025-08-29 12:00:00-04:00,643.79,644.42,643.75,644.34,476621.0,644.151,2967
2025-08-29 12:05:00-04:00,644.33,644.4,643.98,644.35,273790.0,644.245,1790
2025-08-29 12:10:00-04:00,644.34,644.68,644.26,644.54,377494.0,644.506,2500
2025-08-29 12:15:00-04:00,644.54,644.76,644.39,644.52,282948.0,644.594,2093
2025-08-29 12:20:00-04:00,644.53,644.68,644.48,644.63,246818.0,644.578,1543
2025-08-29 12:25:00-04:00,644.63,644.66,644.09,644.17,202393.0,644.323,1353
2025-08-29 12:30:00-04:00,644.18,644.76,644.18,644.68,224521.0,644.551,1358
2025-08-29 12:35:00-04:00,644.69,644.95,644.65,644.92,258326.0,644.796,1730
2025-08-29 12:40:00-04:00,644.91,644.94,644.73,644.94,168727.0,644.838,1188
2025-08-29 12:45:00-04:00,644.93,645.04,644.62,644.68,197814.0,644.888,1430
2025-08-29 12:50:00-04:00,644.69,644.83,644.59,644.81,413753.0,644.707,2403
2025-08-29 12:55:00-04:00,644.8,644.91,644.67,644.73,351645.0,644.822,2180
2025-08-29 13:00:00-04:00,644.7,644.7,643.9,643.92,568860.0,644.285,3406
2025-08-29 13:05:00-04:00,643.93,644.26,643.78,644.23,290540.0,644.078,2092
2025-08-29 13:10:00-04:00,644.23,644.24,643.78,643.83,370246.0,643.971,2651
2025-08-29 13:15:00-04:00,643.83,643.95,643.46,643.72,481154.0,643.66,2973
2025-08-29 13:20:00-04:00,643.72,644.09,643.72,643.88,438501.0,643.928,2616
2025-08-29 13:25:00-04:00,643.88,644.11,643.87,644.0,206546.0,643.995,1300
2025-08-29 13:30:00-04:00,644.0,644.26,643.84,643.98,272790.0,644.029,1810
2025-08-29 13:35:00-04:00,643.99,644.25,643.92,644.21,294263.0,644.075,1759
2025-08-29 13:40:00-04:00,644.22,644.42,644.19,644.35,354569.0,644.297,2109
2025-08-29 13:45:00-04:00,644.36,644.67,644.33,644.57,335407.0,644.515,2201
